"Year","ln.prob.nm.flow","id","iso3.Origin","iso3.Dest","est.gdp.Dest","est.gdp.Origin","est.ucdp.b.death.Origin","est.Severe.Dry.Origin","est.Severe.Wet.Origin","spl.id"
"2008",-10.5230212354937,"AFG-BEL","AFG","BEL",10.7812015365153,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.0380442604009,"AFG-BEL","AFG","BEL",10.7051425489639,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-10.0695471703891,"AFG-BEL","AFG","BEL",10.6951868825235,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-9.29004821319903,"AFG-BEL","AFG","BEL",10.7653120673116,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-9.42029763425983,"AFG-BEL","AFG","BEL",10.7071495496939,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-10.4750929303995,"AFG-BEL","AFG","BEL",10.7524767506083,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-10.6311079017647,"AFG-BEL","AFG","BEL",10.77271896902,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-8.40096898090544,"AFG-BEL","AFG","BEL",10.6211519190353,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-9.67378412248429,"AFG-BEL","AFG","BEL",10.6450701446711,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-11.1949474605708,"AFG-CHE","AFG","CHE",11.1911879799276,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.5810779083205,"AFG-CHE","AFG","CHE",11.1552281236792,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-10.7418769458656,"AFG-CHE","AFG","CHE",11.2199858770662,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-10.3019188484125,"AFG-CHE","AFG","CHE",11.3898153308522,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-10.0460895992101,"AFG-CHE","AFG","CHE",11.333071621167,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-10.525750919097,"AFG-CHE","AFG","CHE",11.351740520594,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-10.7287781845215,"AFG-CHE","AFG","CHE",11.3691308812426,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-8.3919552706376,"AFG-CHE","AFG","CHE",11.3154813017366,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-9.31522416384979,"AFG-CHE","AFG","CHE",11.2919449736405,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-13.5542278972414,"AFG-CYP","AFG","CYP",10.4744208744318,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-13.2298914128812,"AFG-CYP","AFG","CYP",10.3769303396822,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.4756107417025,"AFG-CYP","AFG","CYP",10.3425369526633,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-14.4480253451932,"AFG-CYP","AFG","CYP",10.3858330116026,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-13.4260485406812,"AFG-CYP","AFG","CYP",10.2720520279086,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-15.4978763584314,"AFG-CYP","AFG","CYP",10.2302770877048,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-17.3231916442713,"AFG-CYP","AFG","CYP",10.2084184839392,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-14.9560672074275,"AFG-CYP","AFG","CYP",10.0576974410911,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-17.3817456543198,"AFG-CYP","AFG","CYP",10.1077955863528,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-13.5542278972414,"AFG-CZE","AFG","CZE",10.0347604200002,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-17.1617170456055,"AFG-CZE","AFG","CZE",9.89659875060806,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-15.3974233391787,"AFG-CZE","AFG","CZE",9.90153907985633,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.9625175294115,"AFG-CZE","AFG","CZE",9.99297472400554,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-14.8567946643719,"AFG-CZE","AFG","CZE",9.89705698127839,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-14.8917405548611,"AFG-CZE","AFG","CZE",9.91017360812501,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-14.5506029220315,"AFG-CZE","AFG","CZE",9.89806889336688,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-14.0958659422044,"AFG-CZE","AFG","CZE",9.78867687567446,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-13.7982267158637,"AFG-CZE","AFG","CZE",9.82963819455688,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-10.6592371934889,"AFG-DEU","AFG","DEU",10.7238872728606,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-9.03727018988965,"AFG-DEU","AFG","DEU",10.6331330334961,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-8.50545874610291,"AFG-DEU","AFG","DEU",10.634241986618,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-8.26310355714138,"AFG-DEU","AFG","DEU",10.7503376561517,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-8.33189831320063,"AFG-DEU","AFG","DEU",10.6887434996391,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-8.33599579052633,"AFG-DEU","AFG","DEU",10.7426113259616,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-8.2054052539057,"AFG-DEU","AFG","DEU",10.778143319389,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-7.00000458701516,"AFG-DEU","AFG","DEU",10.6234648078254,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-5.62971667845662,"AFG-DEU","AFG","DEU",10.6480053096671,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-11.1070615754362,"AFG-DNK","AFG","DNK",11.0716735317933,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.2089884009806,"AFG-DNK","AFG","DNK",10.971026645891,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-9.89888992596018,"AFG-DNK","AFG","DNK",10.9689290299958,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-10.406071170173,"AFG-DNK","AFG","DNK",11.0309245088566,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-10.9160958589671,"AFG-DNK","AFG","DNK",10.9769274594277,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-11.2710426131632,"AFG-DNK","AFG","DNK",11.0217749065118,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-11.5996065423189,"AFG-DNK","AFG","DNK",11.0437212718229,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-9.65050343235874,"AFG-DNK","AFG","DNK",10.8828630563055,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-10.3687298646802,"AFG-DNK","AFG","DNK",10.9089789000857,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",NA,"AFG-ESP","AFG","ESP",10.473541801143,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",NA,"AFG-ESP","AFG","ESP",10.3748488247257,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.4756107417025,"AFG-ESP","AFG","ESP",10.3256039128012,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.9625175294115,"AFG-ESP","AFG","ESP",10.3620967079497,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-13.541117870466,"AFG-ESP","AFG","ESP",10.2515152432885,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-13.1787619634862,"AFG-ESP","AFG","ESP",10.2771367928389,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-12.7588434528034,"AFG-ESP","AFG","ESP",10.2908752556431,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-13.6403904135216,"AFG-ESP","AFG","ESP",10.1555302075579,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-13.1920909122934,"AFG-ESP","AFG","ESP",10.1851393499541,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-17.1377468356975,"AFG-EST","AFG","EST",9.81072070988079,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-14.7638217728071,"AFG-EST","AFG","EST",9.60211020005472,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-15.3974233391787,"AFG-EST","AFG","EST",9.60182966668419,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-14.8227187946346,"AFG-EST","AFG","EST",9.77693449532936,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-15.4629304679422,"AFG-EST","AFG","EST",9.77197819136531,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-17.2896358276595,"AFG-EST","AFG","EST",9.8613678583548,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-17.3231916442713,"AFG-EST","AFG","EST",9.92172538565651,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-14.9560672074275,"AFG-EST","AFG","EST",9.77128271885749,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-15.5899861850917,"AFG-EST","AFG","EST",9.82218274320277,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",NA,"AFG-FRA","AFG","FRA",10.7218371643038,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.6235772218378,"AFG-FRA","AFG","FRA",10.6352884285149,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-10.5414944348434,"AFG-FRA","AFG","FRA",10.6124916944276,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-10.7344532784889,"AFG-FRA","AFG","FRA",10.6872003125232,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-11.0085831716887,"AFG-FRA","AFG","FRA",10.6182911191914,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-11.0243346149218,"AFG-FRA","AFG","FRA",10.659467129967,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-10.9670839835754,"AFG-FRA","AFG","FRA",10.6692405424554,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-9.56616560204474,"AFG-FRA","AFG","FRA",10.5088735731574,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-8.67956778869011,"AFG-FRA","AFG","FRA",10.5197097943335,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-8.91465628453597,"AFG-GBR","AFG","GBR",10.7640118106322,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-8.98955259349359,"AFG-GBR","AFG","GBR",10.5639601205348,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-9.66840639334398,"AFG-GBR","AFG","GBR",10.582455681314,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-9.88693767177531,"AFG-GBR","AFG","GBR",10.6463666501102,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-10.1310171519657,"AFG-GBR","AFG","GBR",10.6564065576936,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-10.0061875989028,"AFG-GBR","AFG","GBR",10.6792633176283,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-9.85239787007622,"AFG-GBR","AFG","GBR",10.7669386936597,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-9.39853739131324,"AFG-GBR","AFG","GBR",10.713880555083,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-9.33744024732914,"AFG-GBR","AFG","GBR",10.6229147054475,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-12.8070134954112,"AFG-IRL","AFG","IRL",11.0229329906495,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-12.9720623035791,"AFG-IRL","AFG","IRL",10.8610383106691,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-12.9265029313655,"AFG-IRL","AFG","IRL",10.7937664287276,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.0309593254066,"AFG-IRL","AFG","IRL",10.8561084720903,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-13.8207027326851,"AFG-IRL","AFG","IRL",10.7979190550633,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-13.8556486231743,"AFG-IRL","AFG","IRL",10.8511061731076,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-14.0650951062498,"AFG-IRL","AFG","IRL",10.9240298715551,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-12.5176805732744,"AFG-IRL","AFG","IRL",11.0348319656301,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-12.585955108723,"AFG-IRL","AFG","IRL",11.0540292378658,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-9.6812922805213,"AFG-ITA","AFG","ITA",10.6159309267038,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.730385963672,"AFG-ITA","AFG","ITA",10.5208534798387,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-10.4138167174704,"AFG-ITA","AFG","ITA",10.4913164420447,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-9.95798546645875,"AFG-ITA","AFG","ITA",10.5610091670328,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-9.96439705472367,"AFG-ITA","AFG","ITA",10.4646600209087,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-9.66355306958708,"AFG-ITA","AFG","ITA",10.478722852501,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-9.28210064056265,"AFG-ITA","AFG","ITA",10.4778347355876,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-9.06593091244945,"AFG-ITA","AFG","ITA",10.3166306526844,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-9.43336036920788,"AFG-ITA","AFG","ITA",10.339828208742,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",NA,"AFG-LTU","AFG","LTU",9.6121987604955,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-14.7638217728071,"AFG-LTU","AFG","LTU",9.37769854694147,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.9310862703853,"AFG-LTU","AFG","LTU",9.39196693880082,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.3919726709439,"AFG-LTU","AFG","LTU",9.57453437475202,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-12.8602407824978,"AFG-LTU","AFG","LTU",9.57318050860308,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-13.4609944311704,"AFG-LTU","AFG","LTU",9.66317411562474,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-13.06051176723,"AFG-LTU","AFG","LTU",9.71510505827704,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-13.9199752757408,"AFG-LTU","AFG","LTU",9.56515964864481,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-13.9477584498346,"AFG-LTU","AFG","LTU",9.61574714901737,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-14.7398515628991,"AFG-LVA","AFG","LVA",9.7064448887301,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-14.1171946078821,"AFG-LVA","AFG","LVA",9.41647723234833,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.9310862703853,"AFG-LVA","AFG","LVA",9.34001002886716,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-15.4288545982049,"AFG-LVA","AFG","LVA",9.5393680065481,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-15.4629304679422,"AFG-LVA","AFG","LVA",9.54160961846401,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-17.2896358276595,"AFG-LVA","AFG","LVA",9.62389149256357,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-14.5506029220315,"AFG-LVA","AFG","LVA",9.6623414847708,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-13.7704435417698,"AFG-LVA","AFG","LVA",9.53065457308565,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-13.7982267158637,"AFG-LVA","AFG","LVA",9.56918845558397,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-11.156332624443,"AFG-NLD","AFG","NLD",10.9620671180256,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-10.0063207437088,"AFG-NLD","AFG","NLD",10.8688546384146,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-9.96954076827604,"AFG-NLD","AFG","NLD",10.8386203395933,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-9.67840060423959,"AFG-NLD","AFG","NLD",10.8997043073555,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-10.3261521190056,"AFG-NLD","AFG","NLD",10.8212573032411,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-11.1671430181451,"AFG-NLD","AFG","NLD",10.8625515614694,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-11.2117243047686,"AFG-NLD","AFG","NLD",10.8748567165403,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-9.5097217620841,"AFG-NLD","AFG","NLD",10.7183263844496,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-10.4483226285891,"AFG-NLD","AFG","NLD",10.736589111751,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-9.94406101730239,"AFG-NOR","AFG","NOR",11.4819000725577,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-8.91869757661624,"AFG-NOR","AFG","NOR",11.2895155917173,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-10.3422396688214,"AFG-NOR","AFG","NOR",11.3816177702765,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-10.3578561543816,"AFG-NOR","AFG","NOR",11.5189230674177,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-10.3867155282,"AFG-NOR","AFG","NOR",11.5280617497659,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-10.76607352151,"AFG-NOR","AFG","NOR",11.5416533477605,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-11.0114568351184,"AFG-NOR","AFG","NOR",11.482674305458,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-8.51309285613452,"AFG-NOR","AFG","NOR",11.2166265856753,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-11.4791123209184,"AFG-NOR","AFG","NOR",11.1628030420722,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-15.3459873664695,"AFG-POL","AFG","POL",9.54660009678147,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-14.3891283233657,"AFG-POL","AFG","POL",9.35245223707389,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-13.9310862703853,"AFG-POL","AFG","POL",9.44256345891087,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-13.6370951289769,"AFG-POL","AFG","POL",9.53824465004915,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
"2012",-12.7438304306534,"AFG-POL","AFG","POL",9.48023550415768,6.38378152790139,-8.28945863765465,-5.28632605845761,-9.21034037197618,"1"
"2013",-13.4609944311704,"AFG-POL","AFG","POL",9.52496615344344,6.46594482736616,-8.28973872545561,-9.21034037197618,-4.82376062639781,"1"
"2014",-13.8892044397861,"AFG-POL","AFG","POL",9.56607628491669,6.45859769042788,-8.28607365291123,-3.0355186493097,-4.00151943007453,"1"
"2015",-14.5813737579861,"AFG-POL","AFG","POL",9.43982342399996,6.4213892149081,-7.88571569971135,-2.72454259897248,-4.95551599487518,"1"
"2016",-14.3372232165964,"AFG-POL","AFG","POL",9.42935056000422,6.36210759887102,-7.55650233233531,-4.3688231798907,-3.48926559396182,"1"
"2008",-17.1377468356975,"AFG-PRT","AFG","PRT",10.1205544839393,5.88802783947035,-8.25840312723487,-4.57064096537657,-4.70736112688464,"1"
"2009",-17.1617170456055,"AFG-PRT","AFG","PRT",10.0458893745664,5.90170597675903,-8.49639100166085,-2.6947344881146,-3.96599322963912,"1"
"2010",-17.1891828084068,"AFG-PRT","AFG","PRT",10.0212568484828,6.08467259718259,-8.38215958972176,-4.8657793777405,-4.05729347818008,"1"
"2011",-15.4288545982049,"AFG-PRT","AFG","PRT",10.0513864360462,6.29950615400424,-8.31403549155343,-4.31792471677014,-3.76152979966298,"1"
